#  Columms are:
#  1) T_{500}  [keV]
#  2) Gaussian error in T_{500}  [keV]
#  3) Bolometric luminosity [ergs/s]
#  4) Gaussian error in Bolometric luminosity [erg/s]

4.623 0.680 5.531e+44 3.435e+43
4.894 0.847 4.256e+44 3.843e+43
4.225 1.110 6.801e+44 1.168e+44
4.730 1.257 1.352e+45 1.915e+44
10.896 5.575 5.466e+44 4.440e+43
6.942 1.290 1.026e+45 6.739e+43
5.684 1.184 3.586e+44 3.189e+43
5.707 1.005 6.631e+44 4.307e+43
6.057 1.133 7.364e+44 4.820e+43
4.208 1.204 4.210e+44 5.188e+43
6.180 1.273 6.981e+44 3.968e+43
5.277 1.116 8.335e+44 9.334e+43
5.508 1.058 8.120e+44 4.896e+43
5.041 1.066 4.366e+44 4.419e+43
5.837 1.082 5.672e+44 3.264e+43
4.169 0.946 4.815e+44 6.534e+43
7.402 1.643 9.605e+44 7.023e+43
5.437 1.062 7.112e+44 9.223e+43
6.627 1.171 5.648e+44 2.366e+43
5.003 1.052 9.609e+44 1.073e+44
5.497 0.745 1.656e+45 5.863e+43
6.391 0.627 3.940e+45 2.542e+44
6.587 1.233 6.290e+44 2.775e+43
6.547 1.340 8.974e+44 5.550e+43
5.061 1.020 6.934e+44 9.085e+43
6.707 1.189 5.358e+44 3.010e+43
5.520 1.008 5.551e+44 3.303e+43
5.597 0.988 7.381e+44 4.056e+43
5.483 1.346 8.188e+44 4.576e+43
6.832 1.331 7.654e+44 3.807e+43
5.699 2.351 8.394e+44 1.470e+44
6.101 1.142 6.817e+44 6.471e+43
6.195 1.137 9.746e+44 9.222e+43
6.448 0.853 1.071e+45 6.310e+43
4.929 1.317 6.292e+44 4.311e+43
4.330 0.635 4.144e+44 2.956e+43
6.794 1.148 7.311e+44 6.407e+43
6.786 1.201 9.217e+44 4.840e+43
4.684 0.940 4.767e+44 5.321e+43
8.377 2.088 1.382e+45 1.006e+44
12.075 0.574 4.448e+45 5.410e+43
7.682 0.868 1.490e+45 3.734e+43
8.577 2.473 1.454e+45 5.611e+43
7.325 1.504 1.316e+45 9.946e+43
6.021 0.956 2.250e+45 1.314e+44
10.298 1.522 2.286e+45 7.208e+43
9.647 2.074 8.166e+44 2.786e+43
6.862 1.375 1.981e+45 2.296e+44
